product_id,product_name,gender,category_name,sub_category_name,article_type_name,base_colour,season,usage
15970,Turtle Check Men Navy Blue Shirt,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,Casual
39386,Peter England Men Party Blue Jeans,Men,Apparel,Bottomwear,Jeans,Blue,Summer,Casual
59263,Titan Women Silver Watch,Women,Accessories,Watches,Watches,Silver,Winter,Casual
21379,Manchester United Men Solid Black Track Pants,Men,Apparel,Bottomwear,Track Pants,Black,Fall,Casual
53759,Puma Men Grey T-shirt,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual
1855,Inkfruit Mens Chain Reaction T-shirt,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual
30805,Fabindia Men Striped Green Shirt,Men,Apparel,Topwear,Shirts,Green,Summer,Ethnic
26960,Jealous 21 Women Purple Shirt,Women,Apparel,Topwear,Shirts,Purple,Summer,Casual
29114,Puma Men Pack of 3 Socks,Men,Accessories,Socks,Socks,Navy Blue,Summer,Casual
30039,Skagen Men Black Watch,Men,Accessories,Watches,Watches,Black,Winter,Casual
9204,Puma Men Future Cat Remix SF Black Casual Shoes,Men,Footwear,Shoes,Casual Shoes,Black,Summer,Casual
48123,Fossil Women Black Huarache Weave Belt,Women,Accessories,Belts,Belts,Black,Summer,Casual
18653,Fila Men Cush Flex Black Slippers,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,Casual
47957,Murcia Women Blue Handbag,Women,Accessories,Bags,Handbags,Blue,Summer,Casual
46885,Ben 10 Boys Navy Blue Slippers,Boys,Footwear,Flip Flops,Flip Flops,Navy Blue,Fall,Casual
12369,Reid & Taylor Men Check Purple Shirts,Men,Apparel,Topwear,Shirts,Purple,Fall,Formal
29928,Police Men Black Dial Watch PL12889JVSB,Men,Accessories,Watches,Watches,Black,Winter,Casual
42419,Gini and Jony Girls Knit White Top,Girls,Apparel,Topwear,Tops,White,Summer,Casual
51832,Bwitch Beige Full-Coverage Bra BW335,Women,Apparel,Innerwear,Bra,Beige,Summer,Casual
47359,Baggit Women Brown Handbag,Women,Accessories,Bags,Handbags,Brown,Summer,Casual
17429,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,Men,Accessories,Watches,Watches,Black,Winter,Casual
12967,ADIDAS Men Spry M Black Sandals,Men,Footwear,Sandal,Sandals,Black,Fall,Casual
6842,Timberland Unisex Rubber Sole Brush Shoe Accessories,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Black,Summer,Casual
13089,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,Sports
18461,David Beckham Signature Men Deos,Men,Personal Care,Fragrance,Deodorant,White,Spring,Casual
9036,Buckaroo Men Flores Black Formal Shoes,Men,Footwear,Shoes,Formal Shoes,Black,Winter,Formal
48311,Pitaraa Women Bronze Beaded Bracelet,Women,Accessories,Jewellery,Bracelet,Bronze,Winter,Casual
7990,Fila Men's Round Neck Navy Blue T-shirt,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Sports
56019,Colorbar Soft Touch Show Stopper Copper Lipstick 037,Women,Personal Care,Lips,Lipstick,Brown,Spring,Casual
21977,Murcia Women Casual Brown Handbag,Women,Accessories,Bags,Handbags,Brown,Winter,Casual
37812,John Players Men Navy Blue Shirt,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,Formal
4729,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,Boys,Apparel,Topwear,Tshirts,Green,Summer,Casual
56825,John Players Men Brown Shirt,Men,Apparel,Topwear,Shirts,Brown,Summer,Casual
39988,Gas Men Europa White Shoes,Men,Footwear,Shoes,Casual Shoes,White,Winter,Casual
59051,Carlton London Women Black & Gold Toned Flats,Women,Footwear,Shoes,Flats,Black,Winter,Casual
20099,Diva Women Embroided Green Kurta,Women,Apparel,Topwear,Kurtas,Green,Fall,Ethnic
58183,Rocky S Women White Handbag,Women,Accessories,Bags,Handbags,White,Summer,Casual
29742,Kiara Women Teal Handbag,Women,Accessories,Bags,Handbags,Teal,Summer,Casual
51658,Fossil Women Copper Chronograph Watch CH2589,Women,Accessories,Watches,Watches,Copper,Winter,Casual
3954,Jealous 21 Women's Pink T-shirt,Women,Apparel,Topwear,Tshirts,Pink,Summer,Casual
18839,Peter England Men Formal Black Belt,Men,Accessories,Belts,Belts,Black,Fall,Formal
2886,Catwalk Women Leather Brown Flats,Women,Footwear,Shoes,Flats,Brown,Winter,Casual
23278,Maxima Ssteele Men Off White Watch,Men,Accessories,Watches,Watches,Off White,Winter,Casual
28690,W Women Printed Beige Kurta,Women,Apparel,Topwear,Kurtas,Beige,Summer,Ethnic
8580,Scullers Men  Grey Waistcoat,Men,Apparel,Topwear,Waistcoat,Grey,Fall,Casual
3168,Nike Men's Incinerate MSL White Blue Shoe,Men,Footwear,Shoes,Sports Shoes,White,Fall,Sports
18005,Puma Men Long Logo Black Bermuda,Men,Apparel,Bottomwear,Shorts,Black,Summer,Sports
17871,Levis Men Boxer Maroon Brief,Men,Apparel,Innerwear,Briefs,Maroon,Winter,Casual
9452,John Miller Men Stripes White Red Shirts,Men,Apparel,Topwear,Shirts,Red,Fall,Formal
38402,Baggit Women Hood Dabang Black Belt,Women,Accessories,Belts,Belts,Black,Summer,Casual
44984,Maxima Women White Dial Watch,Women,Accessories,Watches,Watches,White,Winter,Casual
10268,Clarks Men Hang Work Leather Black Formal Shoes,Men,Footwear,Shoes,Formal Shoes,Black,Fall,Formal
45856,Vishudh Women Brown Kurta,Women,Apparel,Topwear,Kurtas,Brown,Summer,Ethnic
32138,Playboy Men Blue Titanium Briefs,Men,Apparel,Innerwear,Briefs,Blue,Summer,Casual
59435,Arrow Men Black Formal Shoes,Men,Footwear,Shoes,Formal Shoes,Black,Summer,Formal
5891,Puma Men's Stripe Polo Black T-shirt,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual
38630,Nike Women Purple Polo T-shirt,Women,Apparel,Topwear,Tshirts,Purple,Summer,Casual
4943,Gini and Jony Boy's Kaleb White Brown Kidswear,Men,Apparel,Topwear,Shirts,White,Summer,Casual
11188,Carrera Men Dial steel finish strap Silver Watches,Men,Accessories,Watches,Watches,Silver,Winter,Casual
10866,Wrangler Men Motor Rider Red T-Shirts,Men,Apparel,Topwear,Tshirts,Red,Fall,Casual
59607,FNF Pink & Grey Wedding Collection Sari,Women,Apparel,Saree,Sarees,Grey,Fall,Ethnic
15528,Puma Men Scribble Black Tshirts,Men,Apparel,Topwear,Tshirts,Black,Fall,Casual
45258,CASIO EDIFICE Men Black Dial Chronograph Watch ED60,Men,Accessories,Watches,Watches,Black,Winter,Casual
42841,French Connection Women Beige Handbag,Women,Accessories,Bags,Handbags,Beige,Summer,Casual
22198,Timberland Men Black Casual Shoes,Men,Footwear,Shoes,Casual Shoes,Black,Fall,Casual
29570,Vans Men Classic Slip-On Purple & Black Shoes,Men,Footwear,Shoes,Casual Shoes,Purple,Summer,Casual
43993,Police Women Passion Perfume,Women,Personal Care,Fragrance,Perfume And Body Mist,Pink,Spring,Casual
6628,ADIDAS Men's Lowell White Silver Shoe,Men,Footwear,Shoes,Sports Shoes,White,Summer,Sports
54924,Do U Speak Green Men Blue Shorts,Men,Apparel,Bottomwear,Shorts,Blue,Summer,Casual
26538,ID Men Red Shoes,Men,Footwear,Shoes,Casual Shoes,Red,Fall,Casual
35913,Peperone Women Black & White Handbag,Women,Accessories,Bags,Handbags,Black,Summer,Casual
49495,Vans Men Khaki Shoes,Men,Footwear,Shoes,Casual Shoes,Khaki,Summer,Casual
9660,Indigo Nation Men Reversible Bling Pink Shirts,Men,Apparel,Topwear,Shirts,Pink,Fall,Casual
2288,Nike Women Black T-shirt,Women,Apparel,Topwear,Tshirts,Black,Fall,Sports
23876,ADIDAS Men Blue Sweatshirt,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,Casual
18237,Manchester United Men Solid Red Tshirt,Men,Apparel,Topwear,Tshirts,Red,Fall,Casual
54118,Rocia Women Black Flats,Women,Footwear,Shoes,Heels,Black,Winter,Casual
2872,Catwalk Women Leather Flats,Women,Footwear,Shoes,Heels,Brown,Winter,Casual
49653,Mineral Women Green Top,Women,Apparel,Topwear,Tops,Green,Summer,Casual
8574,Crocs Dora Boots Pink Sandals,Women,Footwear,Sandal,Sandals,Pink,Fall,Casual
16957,Image Men Sunglasses,Men,Accessories,Eyewear,Sunglasses,Black,Winter,Casual
19123,Lotto Men XL Water Man Silver Slippers,Men,Footwear,Flip Flops,Flip Flops,Silver,Fall,Casual
13419,United Colors of Benetton Men Solid Pink Polo T-shirts,Men,Apparel,Topwear,Tshirts,Pink,Summer,Casual
17885,Levis Men Comfort Style Grey Innerwear Vest,Men,Apparel,Innerwear,Innerwear Vests,Grey,Summer,Casual
43369,Reebok Men Black Possession Flip Flops,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,Casual
48781,Lucera Women Silver Pendant,Women,Accessories,Jewellery,Pendant,Silver,Summer,Casual
44970,Maxima Men White Dial Analog Chronograph Watch,Men,Accessories,Watches,Watches,White,Winter,Casual
56489,Streetwear Ash Nail Polish # 31,Women,Personal Care,Nails,Nail Polish,Bronze,Spring,Unknown
39524,Peter England Unisex Orange Sleeve Bag,Unisex,Accessories,Bags,Laptop Bag,Orange,Summer,Casual
33822,Puma Men Axis White & Grey Sports Shoes,Men,Footwear,Shoes,Sports Shoes,White,Summer,Sports
58513,Tonga Women Maroon Top,Women,Apparel,Topwear,Tops,Off White,Summer,Casual
25947,Femella Women Brown Scarf,Women,Accessories,Scarves,Scarves,Brown,Summer,Casual
52029,Just Natural Unisex Charcoal Rain Jacket,Unisex,Apparel,Topwear,Rain Jacket,Coffee Brown,Summer,Unknown
5865,ADIDAS Men's Twelve Faster T-shirt,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual
39716,Arrow Woman Women Blue Dress,Women,Apparel,Dress,Dresses,Blue,Summer,Casual
25349,Levis Men Red Brief,Men,Apparel,Innerwear,Briefs,Red,Summer,Casual
11940,Ganuchi Men Casual Black Sandals,Men,Footwear,Sandal,Sandals,Black,Summer,Casual
55802,SDL by Sweet Dreams Women Green Printed Night Suit S11-3124,Women,Apparel,Loungewear and Nightwear,Night Suits,White,Summer,Casual
29584,Indigo Nation Men Printed Black T-shirt,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual
43967,DKNY Women Red Delicious Perfume,Women,Personal Care,Fragrance,Perfume And Body Mist,Red,Spring,Casual
28456,Urban Yoga Women Blue Skirt With Leggings,Women,Apparel,Bottomwear,Skirts,Blue,Summer,Sports
34009,Gini and Jony Girls Black Top,Girls,Apparel,Topwear,Tops,Black,Summer,Casual
19311,Nike Men Air Rift MTR White Casual Shoe,Men,Footwear,Shoes,Casual Shoes,White,Fall,Casual
42089,ADIDAS Men White Corona Sports Shoes,Men,Footwear,Shoes,Sports Shoes,White,Summer,Sports
22950,Fastrack Unisex Black Dial Watch 9915PP13,Unisex,Accessories,Watches,Watches,Black,Winter,Casual
49461,Vans Men Blue Era Scilla Plaid Shoes,Men,Footwear,Shoes,Casual Shoes,Blue,Summer,Casual
8746,Crocs Kids Navy Blue Clogs,Unisex,Footwear,Flip Flops,Flip Flops,Navy Blue,Summer,Casual
9694,Classic Polo Men Vulcan White Polo Tshirts,Men,Apparel,Topwear,Tshirts,White,Fall,Casual
23882,Fila Men Destiny Grey Sports Shoes,Men,Footwear,Shoes,Sports Shoes,Grey,Fall,Sports
34835,ADIDAS Men Blue Chill Sports Shoes,Men,Footwear,Shoes,Sports Shoes,Blue,Summer,Sports
15984,Turtle Check Men Yellow Shirt,Men,Apparel,Topwear,Shirts,Yellow,Fall,Casual
41268,Arrow Men Black Wallet,Men,Accessories,Wallets,Wallets,Black,Summer,Casual
11518,Catwalk Women Gun Metal Grey Heels,Women,Footwear,Shoes,Heels,Grey,Winter,Casual
14856,United Colors of Benetton Women Solid Beige Wallets,Women,Accessories,Wallets,Wallets,Beige,Summer,Casual
33648,Lotto Men Ridge Brown Sandals,Men,Footwear,Sandal,Sandals,Brown,Summer,Casual
59297,U.S. Polo Assn. Men White & Navy Blue Shirt,Men,Apparel,Topwear,Shirts,White,Fall,Casual
28032,Jockey ELANCE Men Bikini White Brief 1005,Men,Apparel,Innerwear,Briefs,White,Summer,Casual
27846,Scullers For Her Charcoal Blazer,Women,Apparel,Topwear,Blazers,Charcoal,Summer,Formal
26994,Jealous 21 Women Black Jeans,Women,Apparel,Bottomwear,Jeans,Black,Summer,Casual
