product_id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,stock_qty,updated_at,rating,review_count
15970,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011,Casual,Turtle Check Men Navy Blue Shirt,21,2026-08-12T18:14:08.376699+00:00,4.0,170
39386,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,Peter England Men Party Blue Jeans,37,2026-08-12T18:14:08.376699+00:00,0.2,186
59263,Women,Accessories,Watches,Watches,Silver,Winter,2016,Casual,Titan Women Silver Watch,14,2026-08-12T18:14:08.376699+00:00,4.1,63
21379,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011,Casual,Manchester United Men Solid Black Track Pants,30,2026-08-12T18:14:08.376699+00:00,0.3,179
53759,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012,Casual,Puma Men Grey T-shirt,10,2026-08-12T18:14:08.376699+00:00,1.3,159
1855,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011,Casual,Inkfruit Mens Chain Reaction T-shirt,6,2026-08-12T18:14:08.376699+00:00,3.5,55
30805,Men,Apparel,Topwear,Shirts,Green,Summer,2012,Ethnic,Fabindia Men Striped Green Shirt,6,2026-08-12T18:14:08.376699+00:00,3.5,5
26960,Women,Apparel,Topwear,Shirts,Purple,Summer,2012,Casual,Jealous 21 Women Purple Shirt,11,2026-08-12T18:14:08.376699+00:00,2.0,160
29114,Men,Accessories,Socks,Socks,Navy Blue,Summer,2012,Casual,Puma Men Pack of 3 Socks,15,2026-08-12T18:14:08.376699+00:00,4.8,114
30039,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Skagen Men Black Watch,40,2026-08-12T18:14:08.376699+00:00,2.3,39
9204,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2011,Casual,Puma Men Future Cat Remix SF Black Casual Shoes,5,2026-08-12T18:14:08.376699+00:00,2.8,4
48123,Women,Accessories,Belts,Belts,Black,Summer,2012,Casual,Fossil Women Black Huarache Weave Belt,24,2026-08-12T18:14:08.376699+00:00,1.1,123
18653,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2011,Casual,Fila Men Cush Flex Black Slippers,4,2026-08-12T18:14:08.376699+00:00,2.1,53
47957,Women,Accessories,Bags,Handbags,Blue,Summer,2012,Casual,Murcia Women Blue Handbag,8,2026-08-12T18:14:08.376699+00:00,4.9,157
46885,Boys,Footwear,Flip Flops,Flip Flops,Navy Blue,Fall,2012,Casual,Ben 10 Boys Navy Blue Slippers,36,2026-08-12T18:14:08.376699+00:00,4.5,85
12369,Men,Apparel,Topwear,Shirts,Purple,Fall,2011,Formal,Reid & Taylor Men Check Purple Shirts,20,2026-08-12T18:14:08.376699+00:00,3.3,169
29928,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Police Men Black Dial Watch PL12889JVSB,29,2026-08-12T18:14:08.376699+00:00,4.6,128
42419,Girls,Apparel,Topwear,Tops,White,Summer,2012,Casual,Gini and Jony Girls Knit White Top,20,2026-08-12T18:14:08.376699+00:00,3.3,19
51832,Women,Apparel,Innerwear,Bra,Beige,Summer,2016,Casual,Bwitch Beige Full-Coverage Bra BW335,33,2026-08-12T18:14:08.376699+00:00,2.4,32
47359,Women,Accessories,Bags,Handbags,Brown,Summer,2012,Casual,Baggit Women Brown Handbag,10,2026-08-12T18:14:08.376699+00:00,1.3,159
17429,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,30,2026-08-12T18:14:08.376699+00:00,0.3,29
12967,Men,Footwear,Sandal,Sandals,Black,Fall,2011,Casual,ADIDAS Men Spry M Black Sandals,18,2026-08-12T18:14:08.376699+00:00,1.9,167
6842,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Black,Summer,2011,Casual,Timberland Unisex Rubber Sole Brush Shoe Accessories,43,2026-08-12T18:14:08.376699+00:00,4.4,42
13089,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,2011,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,40,2026-08-12T18:14:08.376699+00:00,2.3,89
18461,Men,Personal Care,Fragrance,Deodorant,White,Spring,2017,Casual,David Beckham Signature Men Deos,12,2026-08-12T18:14:08.376699+00:00,2.7,61
9036,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2011,Formal,Buckaroo Men Flores Black Formal Shoes,37,2026-08-12T18:14:08.376699+00:00,0.2,36
48311,Women,Accessories,Jewellery,Bracelet,Bronze,Winter,2012,Casual,Pitaraa Women Bronze Beaded Bracelet,12,2026-08-12T18:14:08.376699+00:00,2.7,111
7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Sports,Fila Men's Round Neck Navy Blue T-shirt,41,2026-08-12T18:14:08.376699+00:00,3.0,190
56019,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017,Casual,Colorbar Soft Touch Show Stopper Copper Lipstick 037,20,2026-08-12T18:14:08.376699+00:00,3.3,19
21977,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Murcia Women Casual Brown Handbag,28,2026-08-12T18:14:08.376699+00:00,3.9,177
37812,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012,Formal,John Players Men Navy Blue Shirt,13,2026-08-12T18:14:08.376699+00:00,3.4,12
4729,Boys,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,30,2026-08-12T18:14:08.376699+00:00,0.3,129
56825,Men,Apparel,Topwear,Shirts,Brown,Summer,2012,Casual,John Players Men Brown Shirt,26,2026-08-12T18:14:08.376699+00:00,2.5,25
39988,Men,Footwear,Shoes,Casual Shoes,White,Winter,2014,Casual,Gas Men Europa White Shoes,39,2026-08-12T18:14:08.376699+00:00,1.6,188
59051,Women,Footwear,Shoes,Flats,Black,Winter,2012,Casual,Carlton London Women Black & Gold Toned Flats,2,2026-08-12T18:14:08.376699+00:00,0.7,51
20099,Women,Apparel,Topwear,Kurtas,Green,Fall,2011,Ethnic,Diva Women Embroided Green Kurta,50,2026-08-12T18:14:08.376699+00:00,4.3,99
58183,Women,Accessories,Bags,Handbags,White,Summer,2012,Casual,Rocky S Women White Handbag,34,2026-08-12T18:14:08.376699+00:00,3.1,183
29742,Women,Accessories,Bags,Handbags,Teal,Summer,2012,Casual,Kiara Women Teal Handbag,43,2026-08-12T18:14:08.376699+00:00,4.4,142
51658,Women,Accessories,Watches,Watches,Copper,Winter,2016,Casual,Fossil Women Copper Chronograph Watch CH2589,9,2026-08-12T18:14:08.376699+00:00,0.6,58
3954,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual,Jealous 21 Women's Pink T-shirt,5,2026-08-12T18:14:08.376699+00:00,2.8,154
18839,Men,Accessories,Belts,Belts,Black,Fall,2011,Formal,Peter England Men Formal Black Belt,40,2026-08-12T18:14:08.376699+00:00,2.3,39
2886,Women,Footwear,Shoes,Flats,Brown,Winter,2015,Casual,Catwalk Women Leather Brown Flats,37,2026-08-12T18:14:08.376699+00:00,0.2,86
23278,Men,Accessories,Watches,Watches,Off White,Winter,2016,Casual,Maxima Ssteele Men Off White Watch,29,2026-08-12T18:14:08.376699+00:00,4.6,78
28690,Women,Apparel,Topwear,Kurtas,Beige,Summer,2012,Ethnic,W Women Printed Beige Kurta,41,2026-08-12T18:14:08.376699+00:00,3.0,90
8580,Men,Apparel,Topwear,Waistcoat,Grey,Fall,2011,Casual,Scullers Men  Grey Waistcoat,31,2026-08-12T18:14:08.376699+00:00,1.0,180
3168,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010,Sports,Nike Men's Incinerate MSL White Blue Shoe,19,2026-08-12T18:14:08.376699+00:00,2.6,168
18005,Men,Apparel,Bottomwear,Shorts,Black,Summer,2011,Sports,Puma Men Long Logo Black Bermuda,6,2026-08-12T18:14:08.376699+00:00,3.5,5
17871,Men,Apparel,Innerwear,Briefs,Maroon,Winter,2016,Casual,Levis Men Boxer Maroon Brief,22,2026-08-12T18:14:08.376699+00:00,4.7,71
9452,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Formal,John Miller Men Stripes White Red Shirts,3,2026-08-12T18:14:08.376699+00:00,1.4,52
38402,Women,Accessories,Belts,Belts,Black,Summer,2012,Casual,Baggit Women Hood Dabang Black Belt,3,2026-08-12T18:14:08.376699+00:00,1.4,2
44984,Women,Accessories,Watches,Watches,White,Winter,2016,Casual,Maxima Women White Dial Watch,35,2026-08-12T18:14:08.376699+00:00,3.8,184
10268,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2012,Formal,Clarks Men Hang Work Leather Black Formal Shoes,19,2026-08-12T18:14:08.376699+00:00,2.6,68
45856,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012,Ethnic,Vishudh Women Brown Kurta,7,2026-08-12T18:14:08.376699+00:00,4.2,56
32138,Men,Apparel,Innerwear,Briefs,Blue,Summer,2016,Casual,Playboy Men Blue Titanium Briefs,39,2026-08-12T18:14:08.376699+00:00,1.6,138
59435,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2012,Formal,Arrow Men Black Formal Shoes,36,2026-08-12T18:14:08.376699+00:00,4.5,35
5891,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Puma Men's Stripe Polo Black T-shirt,42,2026-08-12T18:14:08.376699+00:00,3.7,91
38630,Women,Apparel,Topwear,Tshirts,Purple,Summer,2012,Casual,Nike Women Purple Polo T-shirt,31,2026-08-12T18:14:08.376699+00:00,1.0,30
4943,Men,Apparel,Topwear,Shirts,White,Summer,2011,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear,44,2026-08-12T18:14:08.376699+00:00,0.1,143
11188,Men,Accessories,Watches,Watches,Silver,Winter,2016,Casual,Carrera Men Dial steel finish strap Silver Watches,39,2026-08-12T18:14:08.376699+00:00,1.6,188
10866,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,Wrangler Men Motor Rider Red T-Shirts,17,2026-08-12T18:14:08.376699+00:00,1.2,66
59607,Women,Apparel,Saree,Sarees,Grey,Fall,2012,Ethnic,FNF Pink & Grey Wedding Collection Sari,8,2026-08-12T18:14:08.376699+00:00,4.9,7
