category_name,month,revenue
Apparel,3,5280878.57
Apparel,7,4981839.55
Apparel,10,4560199.07
Apparel,8,4504957.33
Apparel,1,4434652.04
Apparel,5,4400680.82
Apparel,2,4378150.35
Apparel,12,4162085.44
Apparel,11,4045795.5
Apparel,6,3950798.38
Apparel,4,3677586.67
Apparel,9,3617360.45
Accessories,7,2499986.26
Accessories,3,2481906.12
Accessories,8,2473171.61
Accessories,9,2365376.23
Accessories,5,2287257.47
Accessories,6,2209733.77
Footwear,3,2209468.95
Footwear,5,2183562.78
Accessories,1,2141869.94
Accessories,2,2123152.61
Footwear,7,2053249.5
Footwear,8,2015438.88
Accessories,10,1994636.57
Accessories,12,1955098.71
Accessories,4,1953492.95
Accessories,11,1895331.58
Footwear,11,1848948.64
Footwear,1,1846778.73
Footwear,10,1804437.88
Footwear,2,1768511.01
Footwear,12,1740960.74
Footwear,9,1730865.69
Footwear,6,1674621.53
Footwear,4,1540936.11
Personal Care,5,592659.67
Personal Care,10,553902.98
Personal Care,12,540252.65
Personal Care,3,525502.3
Personal Care,7,486982.96
Personal Care,9,476513.13
Personal Care,11,470469.85
Personal Care,8,465560.62
Personal Care,2,463191.46
Personal Care,6,454151.01
Personal Care,1,437179.97
Personal Care,4,402069.56
Free Items,5,50664.92
Free Items,1,45053.06
Free Items,3,44779.1
Free Items,7,36770.88
Free Items,10,35753.02
Sporting Goods,9,18561.84
Free Items,9,17229.49
Free Items,8,15814.19
Free Items,2,14690.6
Free Items,11,13829.53
Free Items,6,12512.5
Sporting Goods,12,6868.17
Sporting Goods,7,6656.12
Free Items,12,5359.15
Sporting Goods,4,2706.79
Sporting Goods,1,426.57
